"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-0.546614093546577,0.365311128603254,-1.41416149327424,0.171925266715483,0.624223528415956,6.14642803031238,6.14642803031238,-1.41416149327424,0.171925266715483,0.624223528415956,-4.57384949507417
"DEFA1",-0.488447620438957,0.686465916759364,-0.765057843578508,0.452790752311063,0.730978836906096,5.13138582462277,5.13138582462277,-0.765057843578508,0.452790752311063,0.730978836906096,-4.60531093749325
"CCNE2",0.0517772510499109,0.317609408199181,0.146551149001205,0.884876796378985,0.954206868714848,4.49151680921441,4.49151680921441,0.146551149001205,0.884876796378985,0.954206868714848,-4.61900317117238
"CTDP1",0.562342848398002,0.576723646398508,1.0241693354577,0.317465010379101,0.656130104325321,6.69030377810847,6.69030377810847,1.0241693354577,0.317465010379101,0.656130104325321,-4.59456787466279
"LSM6",0.624546727841089,0.465365690837281,1.35439999966742,0.190072759711822,0.624223528415956,7.47426942568851,7.47426942568851,1.35439999966742,0.190072759711822,0.624223528415956,-4.57734441785662
"IFT27",-0.404404545322886,0.236584792881707,-1.34212486774363,0.193812792954376,0.624223528415956,5.30356503212646,5.30356503212646,-1.34212486774363,0.193812792954376,0.624223528415956,-4.57803336041956
"IKZF1",0.288659451337448,0.241665203922425,0.948423754293025,0.35364535603506,0.673184994419704,5.21386258184156,5.21386258184156,0.948423754293025,0.35364535603506,0.673184994419704,-4.59798261804298
"ORM1",0.13206169845679,0.189485124554628,0.480360399818721,0.635911350417408,0.829290616602568,3.61274716599794,3.61274716599794,0.480360399818721,0.635911350417408,0.829290616602568,-4.61383986201731
"GNE",-0.560212322339799,0.297154568525723,-1.64987001637702,0.11377084648552,0.624223528415956,5.40418232542622,5.40418232542622,-1.64987001637702,0.11377084648552,0.624223528415956,-4.55918887764757
"CFTR",0.665537481995885,0.372320242411293,1.69991363995677,0.103883004588539,0.624223528415956,2.96290140375514,2.96290140375514,1.69991363995677,0.103883004588539,0.624223528415956,-4.55592540112936
"GABRP",0.0651788523662553,0.45272215442778,0.1443974232694,0.886570103076976,0.954315622167539,3.12220949151235,3.12220949151235,0.1443974232694,0.886570103076976,0.954315622167539,-4.61901854813179
"AKAP10",-0.401815074603174,0.356804714100919,-1.05596760543651,0.302932269403668,0.647627251103683,6.1788719888448,6.1788719888448,-1.05596760543651,0.302932269403668,0.647627251103683,-4.59307026997116
"CENPE",0.272997001851852,0.385190244453232,0.681191264546946,0.503194525887262,0.757655066428144,3.77010813333333,3.77010813333333,0.681191264546946,0.503194525887262,0.757655066428144,-4.60819806225283
"ASNS",-0.503982809920634,0.740796687233473,-0.737507137312934,0.469014450327956,0.741059761407342,6.0579735779027,6.0579735779027,-0.737507137312934,0.469014450327956,0.741059761407342,-4.60629227692219
"PSPH",-0.0892372443415638,0.421799217369026,-0.208577687411592,0.836797425053162,0.928884550531254,5.5292216406893,5.5292216406893,-0.208577687411592,0.836797425053162,0.928884550531254,-4.61845451523465
"CD79A",1.03353864648736,0.716645532752347,1.55806095936533,0.134234370110194,0.624223528415956,5.59467872941652,5.59467872941652,1.55806095936533,0.134234370110194,0.624223528415956,-4.56509030475211
"MAPK8IP2",1.34935779664413,0.892956241770199,1.66434814298668,0.110966174195322,0.624223528415956,5.87044746663482,5.87044746663482,1.66434814298668,0.110966174195322,0.624223528415956,-4.5582883053492
"KIT",-0.083251455452674,0.560977879787454,-0.155193210219796,0.878158166093263,0.95126901981226,5.14965974367284,5.14965974367284,-0.155193210219796,0.878158166093263,0.95126901981226,-4.61893794819279
"AUH",-0.664876520385067,0.524882757941129,-1.30958911781103,0.204549985433021,0.624223528415956,5.89254155760582,5.89254155760582,-1.30958911781103,0.204549985433021,0.624223528415956,-4.5798866168288
"PRIM1",0.174992988256908,0.512124687548309,0.351657711091574,0.728615873834722,0.876476619777807,5.5217743321943,5.5217743321943,0.351657711091574,0.728615873834722,0.876476619777807,-4.61646828414881
"NEB",-0.447814848552322,0.242107961314767,-1.47005950016028,0.156293165328441,0.624223528415956,4.37191898338845,4.37191898338845,-1.47005950016028,0.156293165328441,0.624223528415956,-4.57049655938167
"ITGAE",0.052279527083335,0.503172526706155,0.106566481326873,0.916149266334255,0.966347413684038,7.83619171865998,7.83619171865998,0.106566481326873,0.916149266334255,0.966347413684038,-4.61925528646703
"GPR162",1.25939007976925,0.929191422660838,1.49688584223426,0.149374310886049,0.624223528415956,6.32205274127352,6.32205274127352,1.49688584223426,0.149374310886049,0.624223528415956,-4.56888491646131
"IDUA",0.0203155810405656,0.327146036675589,0.0564573022023248,0.955508457606335,0.982178285787851,6.05952228067313,6.05952228067313,0.0564573022023248,0.955508457606335,0.982178285787851,-4.61945918500106
"SLC26A1",0.47131578899177,0.456905582966005,1.03676832183997,0.311691949604704,0.654460729915798,5.94660615848765,5.94660615848765,1.03676832183997,0.311691949604704,0.654460729915798,-4.5939792811084
"PARG",0.151840310493827,0.623136120936722,0.258842096152449,0.798289461005275,0.910962311107755,5.82588790226337,5.82588790226337,0.258842096152449,0.798289461005275,0.910962311107755,-4.617870811768
"EXOSC9",-1.12764927629336,0.561084142760162,-2.10177418784791,0.0478778989073924,0.624223528415956,6.45917117600676,6.45917117600676,-2.10177418784791,0.0478778989073924,0.624223528415956,-4.52809194039883
"ARID4A",-0.302779319032922,0.185700020551226,-1.10925402821694,0.279797568314878,0.638617247867255,6.82361834315844,6.82361834315844,-1.10925402821694,0.279797568314878,0.638617247867255,-4.59047885834342
"GEMIN2",-0.268304997839506,0.427820521078342,-0.620516109025661,0.541626549536871,0.77692823149316,5.84338716095679,5.84338716095679,-0.620516109025661,0.541626549536871,0.77692823149316,-4.61009317017344
"SPRR1B",0.929734898096708,0.509632280888637,1.87575069277446,0.0747292065102859,0.624223528415956,2.93861049020062,2.93861049020062,1.87575069277446,0.0747292065102859,0.624223528415956,-4.54407590647887
"ENPP1",-0.342085979320987,0.403679497791234,-0.825690345947193,0.418288678169792,0.709511742921196,6.63832091980453,6.63832091980453,-0.825690345947193,0.418288678169792,0.709511742921196,-4.60303923064588
"IL1B",-0.0616752703703688,0.782731041880863,-0.0858679073989395,0.932388783957205,0.972739336525027,6.35491293611111,6.35491293611111,-0.0858679073989395,0.932388783957205,0.972739336525027,-4.61935466818509
"ARHGAP26",0.169620129423869,0.179837281629464,0.628301937206795,0.536545083694916,0.774600186811171,5.90943282170782,5.90943282170782,0.628301937206795,0.536545083694916,0.774600186811171,-4.6098616501366
