"file","cell","group","major_cell_type","subcluster","macrophage_score","efferocytosis_score","noncontractile_vsmc_score"
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K21","asymptomatic","macrophage","macrophage_S2",1.58907708332507,0.10988052768768,-0.387613183566224
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K23","asymptomatic","macrophage","macrophage_S2",1.39746359009537,0.146394663175507,-0.426602504287043
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L09","asymptomatic","macrophage","macrophage_S2",1.34294733812124,0.138677625325191,-0.367616336958773
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L13","asymptomatic","macrophage","macrophage_S2",0.625322398825666,-0.188910647228,-0.610750519626796
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L15","asymptomatic","macrophage","macrophage_S2",1.18132986163446,0.244257107264817,-0.607028860371061
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L16","asymptomatic","macrophage","macrophage_S2",1.75941499144541,0.202265226252771,-0.36040825758299
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L17","asymptomatic","macrophage","macrophage_S2",1.20311972107841,0.349914346786624,-0.262320173589143
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L19","asymptomatic","macrophage","macrophage_S2",0.963387444935636,0.1359807897772,-0.550828855839316
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L20","asymptomatic","macrophage","macrophage_S2",1.75185781894707,0.137960480590585,-0.367677359697422
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L21","asymptomatic","macrophage","macrophage_S2",0.759866338703072,0.372942886636258,-0.565203299352334
"GSM8121894_athero_human_1.txt.gz","Plate_733s_L22","asymptomatic","macrophage","macrophage_S2",1.14759679970933,0.330648119481194,-0.406893480659606
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M03","asymptomatic","macrophage","macrophage_S2",0.560740097584668,-0.274225343013735,-0.338659658260475
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M04","asymptomatic","macrophage","macrophage_S2",1.2329716933618,-0.177127584448279,-0.317571879795415
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M06","asymptomatic","macrophage","macrophage_S2",0.649603736756496,-0.234830658979621,-0.426993821626778
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M07","asymptomatic","macrophage","macrophage_S1",1.54095415868133,0.691555993341704,-0.472402520034005
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M10","asymptomatic","macrophage","macrophage_S3",0.317889183994578,-0.36134689495037,0.233786777880423
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M11","asymptomatic","macrophage","macrophage_S2",0.98003611900525,-0.0371793165468814,-0.456706701887278
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M12","asymptomatic","macrophage","macrophage_S1",1.72784182492987,0.762761810114597,-0.317099706875251
"GSM8121894_athero_human_1.txt.gz","Plate_733s_M13","asymptomatic","macrophage","macrophage_S3",0.86862035546934,0.412988158887443,0.559381038945501
