"gene","selection","variance","detection_fraction"
"TTYH3","high_variance",0.546912062123666,0.548114434330299
"TLR2","high_variance",0.546463535591591,0.579323797139142
"CYP27A1","high_variance",0.546451162214887,0.642132639791938
"NUCB1","high_variance",0.545619030139952,0.928088426527958
"PFN2","high_variance",0.54523079159933,0.566579973992198
"LAMA4","high_variance",0.544987612486091,0.595838751625488
"TSPO","high_variance",0.544328483276212,0.967880364109233
"LAMC1","high_variance",0.54415182407932,0.659427828348505
"MBNL1","high_variance",0.544135027509967,0.965279583875163
"GOLM2","high_variance",0.543980206954721,0.911443433029909
"SYS1-DBNDD2","high_variance",0.543845468423374,0.831729518855657
"IGSF6","high_variance",0.543650323362733,0.510923276983095
"DDX17","high_variance",0.543597712814103,0.956046814044213
"IQGAP1","high_variance",0.543505427209373,0.942132639791938
"UBA1","high_variance",0.542410002622637,0.897269180754226
"TMED9","high_variance",0.542262548876511,0.848764629388817
"KIF5B","high_variance",0.541885170828436,0.915994798439532
"SPINT2","high_variance",0.541499611792551,0.777113133940182
"ADAMTS1","high_variance",0.541421269350332,0.57815344603381
"TNFSF12-TNFSF13","high_variance",0.541253655016824,0.666449934980494
"INMT","high_variance",0.540981866540728,0.691677503250975
"HCK","high_variance",0.539990252343567,0.459947984395319
"ACTG2","high_variance",0.539557891191495,0.488686605981795
"DPT","high_variance",0.539060771130668,0.444993498049415
"LIMCH1","high_variance",0.538766601693179,0.605591677503251
"LMAN2","high_variance",0.538627919900864,0.866059817945384
"EPS8","high_variance",0.538148257661976,0.785955786736021
"ARL6IP5","high_variance",0.537976625061129,0.979063719115735
"VPS28","high_variance",0.5374001262303,0.908452535760728
"GNS","high_variance",0.53686609223645,0.841222366710013
"TMEM59","high_variance",0.53667967330763,0.978673602080624
"EWSR1","high_variance",0.536017487283791,0.878413524057217
"MX1","high_variance",0.535625116616781,0.705331599479844
"UBE2L6","high_variance",0.535186387602427,0.805981794538361
"SGCA","high_variance",0.534029347700151,0.466319895968791
"CD55","high_variance",0.533690517415593,0.790507152145644
"EIF3D","high_variance",0.533146244091059,0.850975292587776
"REEP5","high_variance",0.53283986588161,0.937191157347204
"IL10RA","high_variance",0.5326555995142,0.457867360208062
"ABI3BP","high_variance",0.531763082105811,0.568920676202861
"EIF4H","high_variance",0.531122405989695,0.888296488946684
"IL18BP","high_variance",0.531023278716037,0.822366710013004
"WDR45","high_variance",0.530861766428074,0.843823146944083
"YWHAH","high_variance",0.530701310269453,0.859167750325098
"HCST","high_variance",0.530509595035633,0.474512353706112
"SNCG","high_variance",0.530385508844529,0.603511053315995
"MLF2","high_variance",0.529880221864209,0.858647594278284
"SRSF2","high_variance",0.529798716216291,0.898569570871261
"SERPINB6","high_variance",0.529728026401936,0.872171651495449
"CNDP2","high_variance",0.529464487778442,0.716254876462939
"TNS2","high_variance",0.529456625235721,0.617945383615085
"RAMP1","high_variance",0.529156262634206,0.476332899869961
"AUP1","high_variance",0.52881609167049,0.83446033810143
"ERCC-00043","high_variance",0.528436804009447,0.885825747724317
"EIF3I","high_variance",0.527964338017485,0.870221066319896
"TNS3","high_variance",0.527264118278361,0.789206762028609
"MARCKS","high_variance",0.527241174387678,0.824967490247074
"CIRBP","high_variance",0.526829192811729,0.937841352405722
"ACTR3","high_variance",0.52634440200079,0.920546163849155
"NOTCH3","high_variance",0.526076313755119,0.535760728218466
"TFPI","high_variance",0.52603820524222,0.887256176853056
"NFKBIZ","high_variance",0.525826908879963,0.705851755526658
"ADI1","high_variance",0.525813221514825,0.88075422626788
"SEC61A1","high_variance",0.525569989113214,0.851885565669701
"MAGED1","high_variance",0.525137271300745,0.768400520156047
"SEPTIN2","high_variance",0.525035192360692,0.957997399219766
"SYNE1","high_variance",0.52480557376486,0.90962288686606
"FOXP1","high_variance",0.524691281964632,0.930819245773732
"TUBA1A","high_variance",0.524570934643393,0.936150845253576
"MSRB3","high_variance",0.524489968167155,0.706631989596879
"GPX4","high_variance",0.524449300393272,0.968660598179454
"ADIPOR1","high_variance",0.524168091827052,0.815474642392718
"CAPNS1","high_variance",0.523725183749722,0.903771131339402
"TMED2","high_variance",0.523372175514976,0.931079323797139
"CCT7","high_variance",0.523188705487851,0.821326397919376
"LTBR","high_variance",0.522802198407502,0.836801040312094
"COPA","high_variance",0.5224006922679,0.869310793237971
"PFKL","high_variance",0.522160654847241,0.784915474642393
"GIMAP4","high_variance",0.522143082878311,0.475162548764629
"CPXM2","high_variance",0.521606038349794,0.578283485045514
"YIPF3","high_variance",0.521547508272905,0.82665799739922
"CIITA","high_variance",0.521252185809475,0.724967490247074
"GSTK1","high_variance",0.521239738770323,0.893368010403121
"PARP14","high_variance",0.5212004151562,0.788426527958388
