"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KLHDC9",-0.439659022669543,,1.54988034391035,0.235361259457068,0.950898411535146,0.00915641723853028,0.00915641723853028,1.54988034391035,0.235361259457068
"KLHL11",-0.334240645439603,,5.17822897577474,0.0405772098958797,0.950898411535146,3.57609460480589,3.57609460480589,5.17822897577474,0.0405772098958797
"KLHL12",-0.0944932435217136,,0.522706239742106,0.482580980595582,0.951713378851306,5.05980303407794,5.05980303407794,0.522706239742106,0.482580980595582
"KLHL13",-0.427091755865667,,2.76898607528502,0.120174608341923,0.950898411535146,2.69194155432664,2.69194155432664,2.76898607528502,0.120174608341923
"KLHL15",-0.055762639781047,,0.200763754571921,0.661530922303075,0.972027986097391,4.09596720587612,4.09596720587612,0.200763754571921,0.661530922303075
"KLHL17",0.478153540611078,,10.7922271694745,0.00597284683223509,0.950898411535146,0.700839306441824,0.700839306441824,10.7922271694745,0.00597284683223509
"KLHL18",-0.0246907630402679,,0.060204964935727,0.810028971312826,0.984714790949959,4.35470833564911,4.35470833564911,0.060204964935727,0.810028971312826
"KLHL2",-0.0656027271383861,,0.124299958515365,0.730105100232277,0.977264589146908,4.62389583871789,4.62389583871789,0.124299958515365,0.730105100232277
"KLHL20",-0.296968261474439,,6.23322313942984,0.0268655613472336,0.950898411535146,4.76928443692422,4.76928443692422,6.23322313942984,0.0268655613472336
"KLHL21",-0.0405254451273457,,0.0663733412259962,0.800752558578237,0.984714790949959,5.04303531071193,5.04303531071193,0.0663733412259962,0.800752558578237
"KLHL22",0.230593865309592,,3.28677979745695,0.0931444489350236,0.950898411535146,3.30600983712885,3.30600983712885,3.28677979745695,0.0931444489350236
"KLHL23",-0.238386534248993,,0.435886533290903,0.520720233663321,0.956576746688523,2.32660779702192,2.32660779702192,0.435886533290903,0.520720233663321
"KLHL24",-0.0736835515089813,,0.40013364095648,0.538061341953416,0.959410744773735,6.6339463917368,6.6339463917368,0.40013364095648,0.538061341953416
"KLHL25",0.0591929946709212,,0.0447868228114793,0.835701244971469,0.988228779245967,1.69003349292805,1.69003349292805,0.0447868228114793,0.835701244971469
"KLHL26",0.228539368553123,,0.860030519322504,0.370743731063697,0.950898411535146,2.2029593602161,2.2029593602161,0.860030519322504,0.370743731063697
"KLHL28",-0.142817254827209,,1.4377438921609,0.252047254650611,0.950898411535146,5.34966267585319,5.34966267585319,1.4377438921609,0.252047254650611
"KLHL29",0.145739981439231,,0.488873703196443,0.496833428693975,0.953663539348411,3.18439860876492,3.18439860876492,0.488873703196443,0.496833428693975
"KLHL3",0.0522518480201234,,0.0798088245852451,0.782034389551885,0.982428971163371,4.43402222400976,4.43402222400976,0.0798088245852451,0.782034389551885
"KLHL30",-0.159203292853534,,0.197275845266865,0.664282153939616,0.972027986097391,2.60890870565878,2.60890870565878,0.197275845266865,0.664282153939616
"KLHL32",-0.123216770260511,,0.0754985102533826,0.787892435450472,0.982428971163371,-0.658990423953837,-0.658990423953837,0.0754985102533826,0.787892435450472
"KLHL35",-0.20292147065462,,0.984422647055286,0.339367203581102,0.950898411535146,0.556525939522755,0.556525939522755,0.984422647055286,0.339367203581102
"KLHL36",-0.0348534131056576,,0.0989084112327544,0.758167522662052,0.978452620062529,5.77002802663715,5.77002802663715,0.0989084112327544,0.758167522662052
"KLHL4",-0.316186893388444,,0.67560189324475,0.426049057444087,0.950898411535146,0.486042485107481,0.486042485107481,0.67560189324475,0.426049057444087
"KLHL41",-0.130305405126523,,0.237562858520824,0.634154126316868,0.968907959546852,0.601269632434068,0.601269632434068,0.237562858520824,0.634154126316868
"KLHL42",-0.206729221422886,,0.913460527708849,0.356750480488525,0.950898411535146,5.84126678862438,5.84126678862438,0.913460527708849,0.356750480488525
