"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121905_athero_human_12.txt.gz","vsmc",81,564,0.143617021276596,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121906_athero_human_13.txt.gz","t_nk",20,897,0.0222965440356745,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","macrophage",215,897,0.239687848383501,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","endothelial",23,897,0.0256410256410256,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","fibroblast",204,897,0.22742474916388,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","vsmc",346,897,0.385730211817168,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","b_cell",24,897,0.0267558528428094,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","unassigned",53,897,0.0590858416945373,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121906_athero_human_13.txt.gz","mast",12,897,0.0133779264214047,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121907_athero_human_14.txt.gz","fibroblast",120,779,0.154043645699615,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","t_nk",70,779,0.0898587933247754,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","b_cell",23,779,0.0295250320924262,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","macrophage",210,779,0.269576379974326,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","endothelial",157,779,0.201540436456996,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","mast",8,779,0.0102695763799743,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","vsmc",155,779,0.198973042362003,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121907_athero_human_14.txt.gz","unassigned",36,779,0.0462130937098845,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121908_athero_human_15.txt.gz","b_cell",12,209,0.0574162679425837,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
"GSM8121908_athero_human_15.txt.gz","endothelial",31,209,0.148325358851675,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
"GSM8121908_athero_human_15.txt.gz","fibroblast",14,209,0.0669856459330144,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
"GSM8121908_athero_human_15.txt.gz","t_nk",11,209,0.0526315789473684,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
"GSM8121908_athero_human_15.txt.gz","macrophage",84,209,0.401913875598086,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
"GSM8121908_athero_human_15.txt.gz","unassigned",42,209,0.200956937799043,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
